intent,text
fees,fee structure please 
fees,how much is the fee
fees,tell me the fees please
fees,fees details 
fees,how much is the fee 
fees,total fees for course now
fees,what is the course fee
fees,total fees for course
fees,how much is the fee 
fees,what is the course fee !
fees,tell me the fees
fees,how much is the fee please
fees,total fees for course please
fees,what is the course fee !
fees,fees details
fees,what is the course fee please
fees,tell me the fees
fees,fees details !
fees,total fees for course 
fees,fee structure please please
fees,what is the course fee please
fees,what is the course fee
fees,what is the course fee !
fees,how much is the fee now
fees,how much is the fee
fees,fees details now
fees,tell me the fees
fees,total fees for course 
fees,tell me the fees
fees,fee structure please
fees,fees details now
fees,fees details !
fees,tell me the fees please
fees,what is the course fee
fees,fee structure please 
fees,how much is the fee now
fees,total fees for course
fees,fee structure please now
fees,how much is the fee now
fees,tell me the fees now
fees,tell me the fees 
fees,tell me the fees 
fees,total fees for course now
fees,fees details !
fees,fees details now
fees,fees details
fees,fee structure please 
fees,what is the course fee now
fees,total fees for course
fees,how much is the fee
fees,how much is the fee
fees,fees details
fees,how much is the fee 
fees,how much is the fee
fees,total fees for course !
fees,fee structure please
fees,total fees for course !
fees,fee structure please !
fees,fees details now
fees,what is the course fee now
fees,tell me the fees now
fees,fees details 
fees,what is the course fee please
fees,fees details !
fees,how much is the fee !
fees,tell me the fees 
fees,fee structure please 
fees,fees details please
fees,what is the course fee please
fees,fees details now
fees,what is the course fee now
fees,total fees for course
fees,how much is the fee 
fees,what is the course fee please
fees,how much is the fee now
fees,tell me the fees 
fees,total fees for course now
fees,total fees for course !
fees,fees details !
fees,how much is the fee 
fees,what is the course fee !
fees,what is the course fee please
fees,total fees for course 
fees,tell me the fees !
fees,fee structure please 
fees,fees details 
fees,fee structure please please
fees,tell me the fees !
fees,how much is the fee please
fees,how much is the fee 
fees,tell me the fees
fees,tell me the fees now
fees,how much is the fee 
fees,tell me the fees 
fees,fees details !
fees,total fees for course !
fees,total fees for course 
fees,fees details now
fees,fee structure please now
fees,fee structure please 
fees,total fees for course
fees,fees details now
fees,tell me the fees
fees,what is the course fee !
fees,tell me the fees please
fees,fees details now
fees,total fees for course
fees,fees details please
fees,how much is the fee !
fees,fee structure please !
fees,fees details 
fees,tell me the fees 
fees,fee structure please
fees,how much is the fee !
fees,what is the course fee now
fees,fees details !
fees,what is the course fee 
fees,how much is the fee
fees,what is the course fee
fees,tell me the fees
fees,fee structure please now
fees,what is the course fee now
goodbye,bye please
goodbye,bye now
goodbye,see you now
goodbye,thanks !
goodbye,thanks
goodbye,thank you bye 
goodbye,goodbye now
goodbye,bye !
goodbye,see you later 
goodbye,see you now
goodbye,goodbye 
goodbye,goodbye now
goodbye,thanks 
goodbye,bye
goodbye,see you !
goodbye,see you 
goodbye,thank you bye 
goodbye,see you later
goodbye,goodbye 
goodbye,goodbye
goodbye,see you later please
goodbye,see you later now
goodbye,see you now
goodbye,see you later please
goodbye,see you !
goodbye,see you later now
goodbye,see you later please
goodbye,goodbye please
goodbye,thank you bye now
goodbye,see you please
goodbye,goodbye !
goodbye,thank you bye
goodbye,goodbye
goodbye,thanks 
goodbye,see you later 
goodbye,bye !
goodbye,see you later
goodbye,thanks please
goodbye,see you 
goodbye,see you now
goodbye,see you please
goodbye,see you later 
goodbye,bye !
goodbye,goodbye 
goodbye,see you later !
goodbye,goodbye 
goodbye,see you later !
goodbye,see you now
goodbye,thanks !
goodbye,thank you bye please
goodbye,thanks
goodbye,see you later 
goodbye,thanks
goodbye,goodbye please
goodbye,goodbye
goodbye,see you later
goodbye,goodbye !
goodbye,see you later now
goodbye,bye !
goodbye,thank you bye !
goodbye,goodbye 
goodbye,see you now
goodbye,goodbye 
goodbye,goodbye !
goodbye,goodbye
goodbye,bye
goodbye,thanks 
goodbye,bye !
goodbye,thank you bye
goodbye,goodbye 
goodbye,bye
goodbye,see you 
goodbye,see you later please
goodbye,goodbye
goodbye,thank you bye please
goodbye,goodbye now
goodbye,see you !
goodbye,see you later please
goodbye,bye
goodbye,see you later !
goodbye,thanks !
goodbye,bye !
goodbye,bye please
goodbye,thank you bye !
goodbye,see you !
goodbye,see you later please
goodbye,see you now
goodbye,goodbye
goodbye,thank you bye please
goodbye,bye now
goodbye,goodbye !
goodbye,thanks !
goodbye,thanks 
goodbye,see you later please
goodbye,see you now
goodbye,see you later now
goodbye,goodbye
goodbye,bye now
goodbye,thank you bye !
goodbye,bye !
goodbye,see you later
goodbye,see you !
goodbye,see you !
goodbye,see you
goodbye,bye please
goodbye,see you later !
goodbye,goodbye 
goodbye,thank you bye 
goodbye,thank you bye !
goodbye,bye !
goodbye,see you later !
goodbye,thank you bye !
goodbye,see you later
goodbye,goodbye please
goodbye,bye
goodbye,see you now
goodbye,see you later
goodbye,goodbye 
goodbye,goodbye please
goodbye,goodbye please
goodbye,see you 
goodbye,goodbye now
goodbye,goodbye 
goodbye,bye 
goodbye,bye !
goodbye,see you
goodbye,thank you bye !
goodbye,thank you bye !
goodbye,bye
goodbye,goodbye now
goodbye,see you now
goodbye,see you later
goodbye,see you later please
goodbye,bye !
goodbye,thank you bye
goodbye,thank you bye please
goodbye,see you
goodbye,thanks please
goodbye,see you 
goodbye,thank you bye 
goodbye,thank you bye please
goodbye,thank you bye please
goodbye,see you later please
goodbye,thanks 
goodbye,thank you bye 
goodbye,thanks 
goodbye,bye now
goodbye,thanks please
goodbye,bye now
goodbye,see you
goodbye,see you later please
goodbye,bye !
goodbye,goodbye 
goodbye,bye now
goodbye,thanks 
goodbye,thanks !
goodbye,bye now
goodbye,bye
goodbye,thank you bye 
goodbye,goodbye 
goodbye,thanks now
goodbye,see you later 
goodbye,see you later 
goodbye,see you !
goodbye,goodbye please
goodbye,see you later please
goodbye,goodbye now
goodbye,goodbye
goodbye,goodbye 
goodbye,thank you bye now
goodbye,thanks 
goodbye,goodbye 
goodbye,see you later !
goodbye,goodbye now
goodbye,see you later now
goodbye,thanks 
goodbye,see you !
goodbye,thanks !
goodbye,see you later please
goodbye,bye please
goodbye,see you later 
goodbye,bye please
goodbye,see you later
goodbye,see you later 
goodbye,see you 
goodbye,see you later 
goodbye,goodbye please
goodbye,thank you bye
goodbye,goodbye
goodbye,bye 
goodbye,bye
goodbye,thank you bye now
goodbye,thanks
goodbye,thanks !
goodbye,see you !
goodbye,see you later now
goodbye,thank you bye
goodbye,see you later !
goodbye,bye please
goodbye,thank you bye
goodbye,see you later please
goodbye,goodbye
goodbye,thanks please
goodbye,thank you bye
goodbye,see you later please
goodbye,bye 
goodbye,bye
goodbye,thanks
goodbye,see you please
goodbye,see you later please
goodbye,thank you bye please
goodbye,goodbye
goodbye,bye
goodbye,goodbye !
goodbye,goodbye 
goodbye,bye now
goodbye,see you 
goodbye,see you later !
goodbye,see you now
goodbye,see you now
goodbye,thank you bye please
goodbye,goodbye 
goodbye,thanks now
goodbye,see you please
goodbye,see you later now
goodbye,bye please
goodbye,thank you bye
goodbye,see you 
goodbye,bye please
goodbye,see you 
goodbye,see you later !
goodbye,see you please
goodbye,thank you bye now
goodbye,thank you bye 
goodbye,bye now
goodbye,thanks 
goodbye,see you later
goodbye,see you later
goodbye,thanks
goodbye,see you later please
goodbye,see you later now
goodbye,see you later please
goodbye,see you please
goodbye,thank you bye
goodbye,goodbye !
goodbye,thanks
goodbye,see you later now
goodbye,see you now
goodbye,thank you bye please
goodbye,thank you bye !
goodbye,thanks please
goodbye,bye !
goodbye,see you later !
goodbye,goodbye now
goodbye,see you later now
goodbye,see you now
goodbye,see you 
goodbye,see you later !
goodbye,thank you bye !
goodbye,goodbye !
goodbye,thanks 
goodbye,see you later
goodbye,thanks !
goodbye,thank you bye please
goodbye,bye
goodbye,bye
goodbye,see you please
goodbye,thanks !
goodbye,bye 
goodbye,see you !
goodbye,thanks 
goodbye,see you later 
goodbye,thanks now
goodbye,thank you bye
goodbye,see you later please
goodbye,thank you bye please
goodbye,see you later
goodbye,thank you bye 
goodbye,goodbye now
goodbye,thanks now
goodbye,goodbye now
goodbye,goodbye
goodbye,thanks 
goodbye,bye please
goodbye,thanks now
goodbye,thank you bye 
goodbye,thank you bye
goodbye,thank you bye 
goodbye,bye
goodbye,thanks please
goodbye,see you later please
goodbye,goodbye now
goodbye,see you !
goodbye,see you
goodbye,thank you bye !
goodbye,thanks !
goodbye,goodbye 
goodbye,thank you bye 
goodbye,see you now
goodbye,thank you bye now
greeting,hello
greeting,hello there 
greeting,good evening !
greeting,hi bot
greeting,hi 
greeting,hi bot 
greeting,hi now
greeting,hey assistant please
greeting,good morning 
greeting,hello
greeting,hello please
greeting,hello there please
greeting,hey !
greeting,hey assistant now
greeting,hi bot
greeting,hey assistant !
greeting,hey assistant now
greeting,good evening please
greeting,hey !
greeting,good morning now
greeting,hello there please
greeting,hey
greeting,good morning please
greeting,hey 
greeting,good evening
greeting,good evening please
greeting,hey 
greeting,hi now
greeting,hi now
greeting,good morning please
greeting,hi 
greeting,hello there
greeting,hey assistant 
greeting,hi bot now
greeting,hey assistant
greeting,good morning
greeting,hi bot please
greeting,good morning
greeting,hey please
greeting,hello there 
greeting,good evening
greeting,good morning 
greeting,hello please
greeting,hi bot now
greeting,hey
greeting,hey 
greeting,good evening !
greeting,hi please
greeting,hey assistant 
greeting,hello
greeting,hello 
greeting,hello now
greeting,hey now
greeting,hey assistant please
greeting,good morning
greeting,hey assistant 
greeting,hey please
greeting,hey
greeting,hi bot
greeting,hi please
greeting,hello there
greeting,hello 
greeting,hey now
greeting,hello !
greeting,hello there please
greeting,hi 
greeting,good morning !
greeting,hello there please
greeting,hi now
greeting,hey assistant please
greeting,hi bot
greeting,hi now
greeting,hey assistant
greeting,hey 
greeting,hi bot
greeting,hi please
greeting,hi
greeting,hi !
greeting,hello there
greeting,hello 
greeting,hello there 
greeting,hi bot
greeting,hi bot please
greeting,hi bot 
greeting,good morning now
greeting,hello there now
greeting,good evening
greeting,hey please
greeting,hey
greeting,good evening now
greeting,good evening
greeting,hey assistant please
greeting,hello
greeting,hi please
greeting,hello 
greeting,hello there !
greeting,hello there please
greeting,hi bot
greeting,hello there please
greeting,hey assistant !
greeting,good evening 
greeting,good evening
greeting,hi !
greeting,hello there 
greeting,hey 
greeting,good morning !
greeting,hey now
greeting,hello 
greeting,good evening
greeting,hey 
greeting,hey
greeting,good morning now
greeting,good evening !
greeting,hi 
greeting,hello there 
greeting,hi
greeting,hey assistant now
greeting,good morning 
greeting,good morning !
greeting,hello there please
greeting,hey now
greeting,hey !
greeting,hey assistant now
greeting,good evening !
greeting,hello 
greeting,hey 
greeting,good morning
greeting,hi please
greeting,hello 
greeting,good morning please
greeting,hey now
greeting,hi bot please
greeting,hi bot now
greeting,hello now
greeting,hello now
greeting,hello please
greeting,hello !
greeting,hey 
greeting,hello there !
greeting,hey now
greeting,hi 
greeting,hi bot 
greeting,hey 
greeting,hey assistant !
greeting,hey now
greeting,hey assistant
greeting,hello please
greeting,hello now
greeting,hi bot !
greeting,hey
greeting,hi bot
greeting,hey
greeting,hey
greeting,hey
greeting,hello there !
greeting,hi 
greeting,good evening
greeting,hi
greeting,hey assistant !
greeting,hi bot
greeting,hi 
greeting,hi !
greeting,hey assistant 
greeting,good evening please
greeting,hey 
greeting,hello there please
greeting,good evening now
greeting,hi bot now
greeting,hello now
greeting,hey please
greeting,hi bot 
greeting,hey assistant please
greeting,hey assistant now
greeting,hi !
greeting,hello 
greeting,good morning !
greeting,hello there please
greeting,hi please
greeting,hey assistant !
greeting,hello please
greeting,hey please
greeting,hey now
greeting,hello
greeting,good evening now
greeting,hi please
greeting,hi bot 
greeting,hi bot please
greeting,hello
greeting,hi
greeting,hi !
greeting,hello 
greeting,hi bot !
greeting,hello
greeting,good evening now
greeting,good evening 
greeting,hi !
greeting,hi bot
greeting,good evening !
greeting,hey
greeting,hello there now
greeting,hey now
greeting,hi bot
greeting,hello !
greeting,good morning
greeting,hello there !
greeting,hello there please
greeting,hello !
greeting,hello there now
greeting,hi bot 
greeting,hello 
greeting,hello please
greeting,good evening 
greeting,hey please
greeting,good morning 
greeting,hi bot
greeting,good evening !
greeting,hello there please
greeting,good morning please
greeting,hi bot 
greeting,good morning !
greeting,good morning
greeting,hello there !
greeting,good evening
greeting,good evening 
greeting,good evening !
greeting,hi bot
greeting,good evening !
greeting,hey assistant now
greeting,hey assistant 
greeting,hi
greeting,hey !
greeting,hello there !
greeting,hi bot
greeting,hello there 
greeting,hey assistant please
greeting,good morning now
greeting,hey please
greeting,good evening 
greeting,good evening !
greeting,hi !
greeting,hello there please
greeting,hi bot please
greeting,hi
greeting,hi bot
greeting,good morning
greeting,hey assistant please
greeting,good morning please
greeting,hey
greeting,hi now
greeting,good evening !
greeting,hey now
greeting,hello there please
greeting,hey assistant please
greeting,hello please
greeting,good evening please
greeting,good evening
greeting,hi 
greeting,hello
greeting,hello there
greeting,hi please
greeting,hey
greeting,hello there now
greeting,hello there now
greeting,good evening
greeting,good evening
greeting,hi bot 
greeting,hey assistant now
greeting,good morning please
greeting,hi
greeting,hey 
greeting,hey assistant please
greeting,hi bot
greeting,hi
greeting,hi bot please
greeting,good morning
greeting,hey assistant !
greeting,hi
greeting,hey assistant now
greeting,good evening
greeting,good evening please
greeting,good evening
greeting,hey
greeting,hello !
greeting,hey 
greeting,hi bot now
greeting,hello now
greeting,hello there please
greeting,hi !
greeting,hello there please
greeting,hi 
greeting,hi bot !
greeting,hi 
greeting,good evening
greeting,hello
greeting,hello !
greeting,hello there please
greeting,good evening 
greeting,hello there please
greeting,hi bot please
greeting,hello there
